LOVE U @APPLE,1.8	
Thank you @apple, loving my new iPhone 5S!!!!!  #apple #iphone5S pic.twitter.com/XmHJCU4pcb,1.8	
.@apple has the best customer service. In and out with a new phone in under 10min!,1.8	
@apple ear pods are AMAZING! Best sound from in-ear headphones I've ever had!,1.8	
Omg the iPhone 5S is so cool it can read your finger print to unlock your iPhone 5S and to make purchases without a passcode #Apple @Apple,1.8	
the iPhone 5c is so beautiful <3 @Apple,1.6	
#AttributeOwnership is exactly why @apple will always be #one! #apple #marketing #marketer #business #innovation #fb,1.6	
Just checked out the specs on the new iOS 7...wow is all I have to say! I can't wait to get the new update ?? Bravo @Apple,1.6	
I love the new iOS so much!!!!! Thnx @apple @phillydvibing,1.6	
Can't wait to get my #Iphone5S!!! @apple,1.6	
@V2vista Fingerprint scanner: The killer feature of iPhone 5S. This is so bloody brilliant. @apple @timesnow http://toi.in/W0o-3Z,1.6	
Interesting  how so  many people seem to be almost willing the demise of @Apple. What's going on? Still by far my favorite #brand. Fantastic,1.6	
I LOVE @BNBuzz @NOOKstudy @nookBN and @apple made my life so much easier this morning !,1.6	
Just watched the keynote of @apple latest iPhones. I just love the #iPhone5S and #iphone5c ??? I guess, i have a christmas gift already????,1.6	
My iPhone wasn't calling correctly so I went to an @apple store (first time) told them and they gave me a brand new phone. #wow,1.4	
Great job @apple on providing best users experience #thinkauto,1.4	
Swapped my #galaxys2 for an #iPhone4S. After one day I'd say I'm an @apple convert!,1.4	
Can't wait for my #orange phone upgrade in November :-) #apple iPhone 5s here I come 	-) @OrangeHelpers @apple,1.4
#colored #iphone! The new 5C iphone comes in colors. I love this!! Can't wait till i can get one! #apple @apple #iphone5c,1.4	
Whether you're an @apple fan or not, this iPhone 5C video is worth watching, for lots of reasons http://bit.ly/18YbjLQ  #lovegreatdesign,1.4	
@apple Impressive features on the Iphone 5s - fingerprint recognition, now thats impressive!!! :),1.4	
@KuqoGroup @jimmykimmel @BlackBerry @Apple that is unbelievably awesome!!!!! #clickitandlickit,1.4	
EarPods are amazing, thanks @Apple,1.4	
In luv with the iPhone 5s luv the champagne colour and the fingerprint reader @apple,1.2	
Used @Apple TV and @explainevrythng to demonstrate student understanding of factors!  Awesome!,1.2	
@brody_knibbs haha mint arent they! top company @apple,1.2	
I'm back yaw, Thanks to @Apple !!!!!,1.2	
Found a new way to work today courtesy of my iPhone. Way to go, @Apple maps! Is that the first time anyone's said that?,1.2	
Dear @Apple, love the new default alarm ringtone. #goodmorning,1.2	
@apple I never noticed how good the iPhone 5 camera was #pug pic.twitter.com/0Z6ZD8FyMK,1.2	
Just found out that @apple added the #watchESPN app to AppleTV. I may never leave the house again! #SEC,1.2	
@Apple products are the best. pic.twitter.com/X5Zy21XFI3,1.2	
@apple drawing on a mac is soooo cool! pic.twitter.com/w9ckPCEy0r,1.2	
I was thinking about getting an android phone. But once I saw the #iphone5s apple had pulled me back in! @iphone5s @apple,1.2	
@jasonreiner after extensive research this new & innovative product was created by @apple #trendsetters,1	
I just dropped my phone down two flights of wooden stairs, no damage. Thanks @apple !,1	
thanks for your help @apple,1	
@TraceyLiddle @Apple So ... I went to the Apple store...an hour away, and they were brilliant! Thanks! New, functioning, Ipad!  D!,1	
I love how @apple makes it easy to transfer between Macs while I continue to work! pic.twitter.com/lga2KaXa4b,1	
The only time @nokia_uk & @apple should be mentioned in the same sentence on my TL is when Nokia is thanking apple>>,1	
Hopefully I will get the new @Apple iPhone 5C for Christmas #iPhone5C,1	
@mfayax @Apple Thank you for the Apple.,1	
The most stunning pictures/videos from the world of @apple on our #instagram profile http://instagram.com/appsolution  pic.twitter.com/QqDZQe8s4F,1	
Suddenly my faith in @apple has been restored. Can't wait for the iPhone 5c now! http://ow.ly/22FbS4,1	
Totally missed that @Apple are giving away iPhoto, iMovie +iWork free of charge to all new iPad owners. Awesome move!,1	
The new @apple 's #iPhone5S seems pretty cool #FingerprintsRecognitom  !!!! #iPhone #Apple,1	
Wow @Apple huge thanks for the 24 hour review cycle! #Concepts 2.0 live with Stacks, Snap-To, improved Shapes, +more! pic.twitter.com/4vkIVK0S0Y,1	
wow, just by the amount of MacBooks in this starbucks i would say @apple is doing very well,1	
@iBrooklynB @Apple 5s gold!!,1	
@Windows @apple ipad ftw,1	
When you open Passbook, the screen gets brighter - automatically. It makes scanning the code flawless. That's why I'll stick to @Apple.,1	
@Apple #iOS7..Everybody get ready to experience a operating system that kills any jail break. Absolutely Incredible! @appletweets @applenws,1	
@apple has done it again...the #5s is gonna be freaking sick,1	
@Lafond66 @mallow610 @Apple recent apple convert who may my continue to be so by my next upgrade...brand is nothing. Usability is key,1	
reason #2001 why when @apple comes out with the new macbook pro I'm getting a that instead of pc.. #hatewindows #upgrade #stupidmicrosoft,1	
iOS 7 finally introduces ringtones and alarms that don't suck. Was that so hard, @apple? Thank you :),1	
.@apple is straight legit! Sent my phone in Wednesday to get repaired. Got a new replacement phone back Friday Morning. I'm back!,1	
My phone is now complete with #iRadio @apple Thank You pic.twitter.com/gQg5XusYF7,1	
All hyperbole aside, this article as well as @apple are simply amazing aren't they? via @FastCoDesign http://ow.ly/ovSzN,1	
Okay phone companies. Stop palling around. @apple can at least let me creep. Why can't anyone else? Get it together!,0.8	
RT @Jill_Martin77: "Music to my ears @Apple #iPhone 5c is 'beautifully, unapologetically plastic'" See more here: http://bit.ly/17pDIv1,0.8	
@iBrooklynB @Apple I loved iphonec better. Cuz name is awesome haha x,0.8	
I #Fell Like #Working For @Apple When I'm Older, I Love Technology A lot, So I Wanna Make My Own Products or Help Design Them or Make Them.,0.8	
Drumroll please! Joining @Apple & @Samsung w big #news & new content this wk is: US! The LRWBlog Redesign!http://ow.ly/oNaZD  #happydance,0.8	
Would love to #blog about the the new #iPhone5s if @Apple wants to send me one!!,0.8	
After 7 years I finally had to get a new MacBook Pro battery!  Go @apple! pic.twitter.com/XwqJEdhsvT,0.8	
Which iPhone would you guys choose? iPhone 5s in white/silver or iPhone 5c in Green? :) @apple,0.8	
Does @Apple have a registry for gifts? Because I'm thinking about fake getting #married or #birthday registering for some things.,0.8	
Thanks @apple for the #itunesFestival  http://twitpic.com/dd6xjw,0.8	
our good help ! thanks @apple pic.twitter.com/lbU9dIufRF,0.8	
I know this is going sound simple but with #ios7 without entering the password you have a flashlight #genius #simple @apple #wow,0.8	
@Apple leaps ahead again with Mobile Identity Management! Are you still stuck on MDM? anyone? MIM is the future!,0.8	
@Microsoft and @Windows I am so done with you. Every laptop!!! #6monthlifespan ... @Apple come at me!,0.8	
@Apple: You will be in my hands in just 8 days.  #iPhone5S #iPhone #IOS #Apple   #September20th pic.twitter.com/xWR5hVnjYC,0.8	
@tvmattscott I am a big believer in the @apple store,0.8	
I'm so glad that @apple is skipping the megapixel war for better light sensitivity. Now it'll outdo some entry level SLRs!,0.8	
